player_name,season_norm,goals,shots,passes,team_name,primary_pos,att_score,mid_score,def_score,league,season_name,season,extracted_year
João Miranda de Souza Filho,2015/2016,1,10,0,Inter Milan,Right Center Back,100,0,0,Serie A,2015/2016,2015/2016,2015
Juan Camilo Zúñiga Mosquera,2015/2016,0,8,0,Bologna,Left Back,40,0,0,Serie A,2015/2016,2015/2016,2015
Juan Guilherme Nunes Jesus,2015/2016,0,4,0,Inter Milan,Left Back,20,0,0,Serie A,2015/2016,2015/2016,2015
Juan Guillermo Cuadrado Bello,2015/2016,4,37,0,Juventus,Right Wing Back,385,0,0,Serie A,2015/2016,2015/2016,2015
Juan Ignacio Gómez Taleb,2015/2016,1,36,0,Hellas Verona,Left Wing,230,0,0,Serie A,2015/2016,2015/2016,2015
Juan Manuel Iturbe Arévalo,2015/2016,1,10,0,AS Roma,Right Wing,100,0,0,Serie A,2015/2016,2015/2016,2015
Jules Olivier Ntcham,2015/2016,0,23,0,Genoa,Center Attacking Midfield,115,0,0,Serie A,2015/2016,2015/2016,2015
Juraj Kucka,2015/2016,1,51,0,AC Milan,Right Center Midfield,305,0,0,Serie A,2015/2016,2015/2016,2015
Jérémy Ménez,2015/2016,2,6,0,AC Milan,Left Center Forward,130,0,0,Serie A,2015/2016,2015/2016,2015
Jörg Heinrich,1999/2000,0,1,0,Fiorentina,Left Defensive Midfield,5,0,0,Serie A,1999/2000,1999/2000,1999
Kalidou Koulibaly,2015/2016,0,5,0,Napoli,Left Center Back,25,0,0,Serie A,2015/2016,2015/2016,2015
Kamil Glik,2015/2016,0,20,0,Torino,Center Back,100,0,0,Serie A,2015/2016,2015/2016,2015
Kamil Wilczek,2015/2016,0,5,0,Carpi,Center Forward,25,0,0,Serie A,2015/2016,2015/2016,2015
Karim Laribi,2015/2016,0,10,0,Sassuolo,Right Center Midfield,50,0,0,Serie A,2015/2016,2015/2016,2015
Keisuke Honda,2015/2016,1,48,0,AC Milan,Right Midfield,290,0,0,Serie A,2015/2016,2015/2016,2015
Keita Baldé Diao,2015/2016,4,63,0,Lazio,Left Wing,515,0,0,Serie A,2015/2016,2015/2016,2015
Kevin Lasagna,2015/2016,5,42,0,Carpi,Center Attacking Midfield,460,0,0,Serie A,2015/2016,2015/2016,2015
Kevin Strootman,2015/2016,0,2,0,AS Roma,Left Defensive Midfield,10,0,0,Serie A,2015/2016,2015/2016,2015
Kevin-Prince Boateng,2015/2016,1,6,0,AC Milan,Left Center Forward,80,0,0,Serie A,2015/2016,2015/2016,2015
Khouma El Hadji Babacar,2015/2016,5,30,0,Fiorentina,Center Forward,400,0,0,Serie A,2015/2016,2015/2016,2015
Konstantinos Manolas,2015/2016,2,17,0,AS Roma,Right Center Back,185,0,0,Serie A,2015/2016,2015/2016,2015
